"Niveau 1","Variantes ( FR) ","Exemples","EP TOSBR ( ENG)","EP TOSBR ( FR)","PRIVACY ICONS"
,"11.1  Opt-out : Droit pour les internautes de refuser les cookies ","Vine,  Hubic, LastPass, BlaBlacar","uses temporary session cookies ",,"tracking "
,"11.2 Opt-out : Droit pour les internautes de refuser les cookies mais fonctionnement dégradé du service ","Twitter, DailyMotion, VentePrivee, TomTom, Deezer, Linkedin, HomeBubble, Rue du Commerce, Booking, eBay, TripAdvisor, Uber, Viber, Spotify, Viadeo, Apple, Boursorama","uses temporary session cookies ",,"tracking "
,"11.3 Utilisation obligatoire et possible association avec des données personnelles pour permettre le fonctionnement du service ","Airbnb , Whatsapp, AlloCiné, Tumblr, Medium, Google","Non-transparent use of cookies and third party ads",,"tracking "
"12. Pixels espion ",,,,,
,"12.0 Pas d’utilisation ",,,,
,"12.1 Pour connaître le taux d’ouverture des courriels ou pour finalités légitimes explicitement déterminées ","Skype, Amazon, Groupon, Couchsurfing, Blablacar, Booking, Spotify, Facebook, Apple, Google, Paypal",,,"tracking "
,"12.2 Implémentation sans transparence ni précision sur les finalités ","Airbnb , Snapchat, Steam, Viber, Kayak, Instagram","Non-transparent use of cookies and third party ads ",,"tracking "
"13. Conservation des données ",,,,,
,"13.0 Pas de conservation des données ",,,,
,"13.1 Seuls les journaux nécessaires et les informations de débogage sont conservés",,"Only the necessary logs and debug information are kept ",,
,"13.2 peut conserver vos données après la désactivation à des fins commerciales légitimes",,"may retain your data after deactivation for legitimate business purposes ",,"Retention Period "
,"13.3 vous accordez une licence perpétuelle sur vos données collectées ",,"You grant perpetual license to anything you publish ",,"Retention Period "
"14. Délai de conservation des données et d'anonymisation ",,,,,
,"14.0 Pas de conservation des données ",,,,
,"14.1 Conservation des données 3 mois après la suppression du compte ",,,,
,"14.2 Conservation des données plus de 6 mois après la suppression du compte ","DailyMotion ( 1an), Twitter ( 18 mois), Facebook, Kayak, Netflik, Instagram, ",,,
"15. Suppression du compte ",,,,,
,"15.0 Suppression du compte à la demande",,," arrêt à la demande ",
,"15.1 Menu de suppression caché dans la politique de confidentialité",,,"Menu de suppression caché dans la politique de confidentialité ",
,"15.2 L'opérateur peut supprimer le compte à sa discrétion ",,"may close your account at their sole discretion ",,
,"15.3 Vous ne pouvez pas supprimer votre compte ",,"You cannot delete your account ","Aucune résiliation possible ",
"16.Indications en cas de faille de sécurité notée par le fournisseur de contenus",,,,,
,"16.1 Information de l’utilisateur en cas de faille de sécurité","WhatsApp","warns you if emergency maintenance is happening ",,
,"16.2 Pas d’information de l’utilisateur en cas de faille de sécurité ou éxonération de toute responsabilité","eBay, Spotify, Soundhound, Snapchat, Apple",,,
"17. Transfert des DP sous loi américaine ",,,,,
,"17.0 Pas de transfert extra-territorial","Blablacar",,,
,"17.1 Application des principes de Safe Harbor","Couchsurfing, Valve, eBay, Apple, Kayak, Google, Uber",,"Utilisation des données aux États-Unis ",
,"17.2 Pas d'adhésion aux EU Safe Harbor","Trip Advisor , Snapchat, ",,"Utilisation des données aux États-Unis ",
"18. Modification des CGU et de la politique de confidentialité ",,,,,
,"18.0 Consentement préalable des personnes concernées","HomeBubble",,,
,"18.1 Engagement de ne pas baisser le niveau de confidentialité de manière substantielle sans l'information  préalable des personnes concernées ","Amazon,  Snapchat, TrpAdvisor, Uber",," Communication des principaux changements de CGU ",
,"18.2 Changement régulier sans information préalable de l'utilisateur ","Tumblr, Viber, Sounhound, Spotify, ","Terms may be changed any time at their discretion, without notice to the user ","Modifications à tout moment des CGU ",
"19. Droit applicable/ recours ",,,,,"Law enforcement "
,"19.1 application du droit français / législation CNIL",,,"Juridiction française ",
,"19.2 application du droit européen ",,,,
,"19.3 application du droit californien ",,,"Droit californien applicable, sous réserve des règles de conflit de lois ",
,"19.4 renonciation au procès et aux recours collectifs. Convention d'arbitrage. Application du droit américain ",,"Lawsuit and class action waiver. Arbitration agreement. Survives termination of ToU agreemen",,
,"19.4 renonciation au procès et aux recours collectifs. Application du droit américain ",,"Lawsuit and class action waiver. Arbitration for dispute resolution in the United States",,
,"19.5 exonération totale de responsabilité",,"You defend, indemnify, and hold app.net harmless in case of a claim related to your use of the service","Clause limitative de responsabilité maximale ",
"20. portabilité des données ",,,,,
,"20.1 portabilité des données par API Personal Data avec collecte des CGR associées",,"You can get your data back ",,
,"20.2 portabilité des données par stockage",,"You can get your data back ",,
,"20.3 pas de portabilité des données",,,,
,"20.4 pas de droit d'accès ",,,,
